nom_du_festival;envergure_territoriale;region_principale_de_deroulement;departement_principal_de_deroulement;commune_principale_de_deroulement;code_postal_de_la_commune_principale_de_deroulement;code_insee_commune;code_insee_epci_collage_en_valeur;libelle_epci_collage_en_valeur;numero_de_voie;type_de_voie_rue_avenue_boulevard_etc;nom_de_la_voie;adresse_postale;complement_d_adresse_facultatif;site_internet_du_festival;adresse_e_mail;decennie_de_creation_du_festival;annee_de_creation_du_festival;discipline_dominante;sous_categorie_spectacle_vivant;sous_categorie_musique;sous_categorie_musique_cnm;sous_categorie_cinema_et_audiovisuel;sous_categorie_arts_visuels_et_arts_numeriques;sous_categorie_livre_et_litterature;periode_principale_de_deroulement_du_festival;identifiant_agence_a;identifiant;identifiant_cnm;;;;;;;;;;;;;;;
Le Grand HUIT;/;Pays de la Loire;Loire-Atlantique;Nantes;44000;44109;244400404;Nantes Métropole;9;Rue;Sanlecque;9 Rue Sanlecque;;honolulu.oro.fr;administration@oro.fr;2010 et après;2016;Spectacle vivant;Danse;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_44109_4303;;;;;;;;;;;;;;;;
Les Automnales;;Nouvelle-Aquitaine;Haute-Vienne;Nexon;87800;87106;200070506;CC Pays de Nexon Monts de Chalus;;;;;;http://quofaipasdemau.free.fr;quofaipasdemau@hotmail.fr;2010 et après;2016;Spectacle vivant;Spectacle vivant pluridisciplinaire;;;;;;Après-saison (6 septembre - 31 décembre);LA228;FEST_87106_4378;;;;;;;;;;;;;;;;
Nîmes s'illustre;Plusieurs sites dans la même ville;Occitanie;Gard;Nîmes;30000;30189;243000643;CA de Nîmes Métropole;;;;;Pas De Voie Spécifique / Changement De Lieux Chaque Année;www.nimessillustre.fr;nimessillustre@gmail.com;2010 et après;2019 / première édition en 2021;Arts visuels, arts numériques;;;;;;;Saison (21 juin - 5 septembre);;FEST_30189_4431;;;;;;;;;;;;;;;;
Chemins de traverses;Départementale;Île-de-France;Seine-Saint-Denis;Noisy-le-Grand;93160;93051;200054781;Métropole du Grand Paris;;;;;;https://www.tourisme93.com/document.php?pagendx=815&engine_zoom=FMAIDFC930028175;assoeurekart@gmail.com;2010 et après;2021;Spectacle vivant;Danse, théâtre, cirque, théâtre forain, toutes les disciplines du spectacle vivant;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_93051_4468;;;;;;;;;;;;;;;;
Tyran Fest;Régionale;Hauts-de-France;Nord;Oignies;59130;62637;246200299;CA d'Hénin-Carvin;143;Rue;Saint-Cécile;143 Rue Saint-Cécile;Nao Noïse;https://www.tyrantfest.com/;infos@naonoise.fr;2010 et après;2016;Musique;;Métal, Hard Rock;;;;;Après-saison (6 septembre - 31 décembre);;FEST_62637_4500;;;;;;;;;;;;;;;;
Une autre histoire;Intercommunale;Centre-Val de Loire;Loiret;Orléans;45100;45234;244500468;Orléans Métropole;;;;;Parc pasteur;http://festivaluneautrehistoire.fr/;;2010 et après;;Spectacle vivant;Arts du conte;;;;;;Saison (21 juin - 5 septembre);;FEST_45234_4555;;;;;;;;;;;;;;;;
Arrête Ton Cirque;;Bretagne;Ille-et-Vilaine;Paimpont;35380;35211;243500618;CC de Brocéliande;;;29 Rue de Chevalier Lancelot;29 Rue de Chevalier Lancelot;;www.arretetoncirque.fr;laloggia35@gmail.com;2010 et après;2013;Musique;;Musiques du monde, Musiques traditionnelles;;;;;Avant-saison (1er janvier - 20 juin);;FEST_35211_4580;;;;;;;;;;;;;;;;
Chapelle XIV Music Festival;;Île-de-France;Paris;Paris;75018;75056;200054781;Métropole du Grand Paris;;;;;;http://chapelle14.com/;;;;Arts visuels, arts numériques;;;;;;;;;FEST_75118_4638;;;;;;;;;;;;;;;;
Fair : le tour;;Île-de-France;Paris;Paris;75018;75056;200054781;Métropole du Grand Paris;;;;;;http://lefair.org;;De 2000 à 2009;01/01/2009 00:00;Musique;;Musiques actuelles;02- Musiques amplifiées ou électroniques;;;;Avant-saison (1er janvier - 20 juin);;FEST_75118_4669;2034;;;;;;;;;;;;;;;
Festival du cinéma de Turquie à Paris;;Île-de-France;Paris;Paris;75010;75056;200054781;Métropole du Grand Paris;;;;;;www.cinematurc.com;cinematurquie@gmail.com;De 2000 à 2009;2003;Cinéma, audiovisuel;;;;Fiction long métrage, Court métrage, Documentaire, Film d'animation;;;Avant-saison (1er janvier - 20 juin);;FEST_75110_4688;;;;;;;;;;;;;;;;
Festival du Film Russe de Paris;;Île-de-France;Paris;Paris;75009;75056;200054781;Métropole du Grand Paris;;;;;;;;;;Cinéma, audiovisuel;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75109_4693;;;;;;;;;;;;;;;;
Festival International de la diversité culturelle;;Île-de-France;Paris;Paris;75001;75056;200054781;Métropole du Grand Paris;;;;;;;;;;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75101_4699;;;;;;;;;;;;;;;;
Le Mois Kréyol | Festival des langues et des cultures créoles;;Île-de-France;Paris;Paris;75013;75056;200054781;Métropole du Grand Paris;;;;;;https://lemoiskreyol.fr/;communication@difekako.fr;2010 et après;2017;Spectacle vivant;Danse;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_75113_4759;;;;;;;;;;;;;;;;
Open space;;Île-de-France;Paris;Paris;75018;75056;200054781;Métropole du Grand Paris;;;;;;;;;;Spectacle vivant;Danse;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75118_4807;;;;;;;;;;;;;;;;
Paris Paradis;Régionale;Île-de-France;Val-d'Oise;Paris;75000;75056;200054781;Métropole du Grand Paris;;;;;;https://www.leparisien.fr/parisparadis/;parisparadis@leparisien.fr;2010 et après;2018;Musique;;Chanson ou variété française, Variétés internationales, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock, Musique contemporaine;;;;;Après-saison (6 septembre - 31 décembre);;FEST_75116_2430;;;;;;;;;;;;;;;;
Trois 6 Neuf;;Île-de-France;Paris;Paris;75018;75056;200054781;Métropole du Grand Paris;;;;;;http://www.theatre-latalante.com;;De 2000 à 2009;01/01/2005 00:00;Musique;;Musiques actuelles;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75118_4883;;;;;;;;;;;;;;;;
Weather Festival;;Île-de-France;Paris;Paris;92100;92012;200054781;Métropole du Grand Paris;;;;;;;;;;Musique;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_92012_4892;;;;;;;;;;;;;;;;
Été Indé;;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Pau;64000;64445;200067254;CA Pau Béarn Pyrénées;;;;;;http://www.pau.fr/;contact@ville-pau.fr;2010 et après;2017;Musique;;Pluridisciplinaire culture;;;;;Après-saison (6 septembre - 31 décembre);LA615;FEST_64445_4914;;;;;;;;;;;;;;;;
Festival de Buguélès;;Bretagne;Côtes-d'Armor;Penvenan;22710;22166;200065928;CA Lannion-Trégor Communauté;;;Buguélès;Buguélès;;;airdularge@gmail.com;De 2000 à 2009;2002;Musique;;Musiques du monde, Musiques traditionnelles;;;;;Saison (21 juin - 5 septembre);;FEST_22166_4944;;;;;;;;;;;;;;;;
Éritaj, Mémoires Vivantes;Communale;Guadeloupe;Guadeloupe;Petit-Canal;97132;97119;200044691;CA du Nord Grande Terre;;Bourg;Marches des Esclaves;Bourg Marches des Esclaves;Port de pêche;Festival Eritaj.com;contact@festivaleritaj.com;2010 et après;2015;Musique;Tous styles. Les artistes créent pdt une résidence de création pour le festival;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_97119_5005;;;;;;;;;;;;;;;;
Tribal festival;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Peymeinade;6530;6095;200039857;CA du Pays de Grasse;;;;;;www.tribalroch.asso.fr;Gilles.Riem@orange.fr;De 2000 à 2009;;Musique;;Rock;;;;;Saison (21 juin - 5 septembre);;FEST_06095_5007;;;;;;;;;;;;;;;;
Festival de l'Ours;Départementale;Bourgogne-Franche-Comté;Haute-Saône;Plancher-les-Mines;70290;70414;247000821;CC Rahin et Chérimont;10 bis;Quartier;de Saint-Antoine;10 bis Quartier de Saint-Antoine;Scierie Saint-Antoine;festivaldelours.fr;;2010 et après;2013;Musique;;Pop, rock;;;;;Saison (21 juin - 5 septembre);;FEST_70414_5040;;;;;;;;;;;;;;;;
Gouel bro Plistin;;Bretagne;Côtes-d'Armor;Plestin-les-Grèves;22310;22194;200065928;CA Lannion-Trégor Communauté;;;Salle des fêtes;Salle des fêtes;;https://danstreger.wordpress.com/;tianholl@plestinlesgreves.com;De 1990 à 1999;1997;Cinéma, audiovisuel;Danse;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_22194_5057;;;;;;;;;;;;;;;;
Nuits au château de Kergrist;;Bretagne;Côtes-d'Armor;Ploubezre;22300;22093;200069391;CA de Lamballe Terre et Mer;;;Château de Kergrist;Château de Kergrist;;https://www.facebook.com/secondegre/;secon2gre@gmail.com;2010 et après;2017;Musique;;Musiques électroniques, techno;;;;;Avant-saison (1er janvier - 20 juin);;FEST_22093_5065;;;;;;;;;;;;;;;;
Seanapse;;Bretagne;Côtes-d'Armor;Plouha;22580;22222;200069086;CC Leff Armor Communauté;;;Plage du Palus;Plage du Palus;;;assoseanapse@gmail.com;2010 et après;2017;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_22222_5074;;;;;;;;;;;;;;;;
Le Circuit;;Nouvelle-Aquitaine;Vienne;Poitiers;86000;86194;200069854;CU du Grand Poitiers;;;;;;http://www.confort-moderne.fr;box@confort-moderne.fr;De 2000 à 2009;2007;Musique;;Musiques actuelles;;;;;Après-saison (6 septembre - 31 décembre);LA508;FEST_86194_5112;;;;;;;;;;;;;;;;
Festival du film politique de Porto-Vecchio;;Corse;Corse-du-Sud;Porto-Vecchio;20137;2A247;200040764;CC du Sud Corse;;;;;;https://www.festivaldufilmpolitique.com/;;2010 et après;2017;Cinéma, audiovisuel;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_2A247_5194;;;;;;;;;;;;;;;;
Les Musicales de Quiberon;;Bretagne;Morbihan;Quiberon;56170;56186;200043123;CC Auray Quiberon Terre Atlantique;;;Espace Louison Bobet, palais des congrès;Espace Louison Bobet, palais des congrès;Bd René Cassin;http://www.lesmusicalesdequiberon.fr/index.html;musicalesquiberon@free.fr;2010 et après;2015;Musique;;Musique contemporaine, Musique classique;;;;;Après-saison (6 septembre - 31 décembre);;FEST_56186_5257;;;;;;;;;;;;;;;;
Festival de rue de Ramonville;Régionale;Occitanie;Haute-Garonne;Ramonville-Saint-Agne;31520;31446;243100633;CA du Sicoval;1;Place;Jean Jaurès;1 Place Jean Jaurès;Le Kiwi - Espace D'imagination Et De Partage;https://www.festivalramonville-arto.fr/;contact.arto@gmail.com;De 1980 à 1989;1988;Spectacle vivant;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_31446_5290;;;;;;;;;;;;;;;;
RDN Festival;;Bretagne;Finistère;Rédéné;29300;29234;242900694;CA Quimperlé Communauté;;;Résidence de Kerloret;Résidence de Kerloret;Salle Jean-Louis Rolland;https://www.facebook.com/RdnFestival;rdnjeunes@gmail.com;2010 et après;2011;Livre, littérature;Danse;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_29234_5302;;;;;;;;;;;;;;;;
Quincena del cine hispanico;;Bretagne;Ille-et-Vilaine;Redon;35600;35236;243500741;CA Redon Agglomération;;;Ciné Manivel;Ciné Manivel;;www.cinemanivel.fr;programmation@cinemanivel.fr;2010 et après;2016;Cinéma, audiovisuel;;;;Fiction long métrage, Court métrage, Documentaire, Film d'animation;;;Après-saison (6 septembre - 31 décembre);;FEST_35236_5310;;;;;;;;;;;;;;;;
Boom Bap Festival;;Grand Est;Marne;Reims;51100;51454;200067213;CU du Grand Reims;;;;;;http://velours-prod.com/evenement/boom-bap-festival-reims/;thibaud@velours-prod.com;2010 et après;;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_51454_5316;;;;;;;;;;;;;;;;
Expocollective;;Grand Est;Marne;Reims;51100;51454;200067213;CU du Grand Reims;;;;;;http://www.saintex-reims.com/2021/03/expocollective18/;infos@saintex-reims.com;2010 et après;2011;Arts visuels, arts numériques;;;;;Arts numériques, Installation, Performance;;Avant-saison (1er janvier - 20 juin);;FEST_51454_5322;;;;;;;;;;;;;;;;
Cours en Betton - Festival du film de l'Ouest;;Bretagne;Ille-et-Vilaine;Rennes;35830;35238;243500139;Rennes Métropole;;;Salle de la Cité;Salle de la Cité;;https://www.courtsenbetton.com/;contact@courtsenbetton.com;De 2000 à 2009;2009;Cinéma, audiovisuel;;;;Fiction long métrage, Court métrage, Documentaire, Film d'animation, Clip, Films d'ateliers;;;;;FEST_35238_5351;;;;;;;;;;;;;;;;
Festival TNB;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;1 Rue Saint-Hélier;1 Rue Saint-Hélier;;www.t-n-b.fr;info@t-n-b.fr;2010 et après;2017;Cinéma, audiovisuel;Théâtre;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_35238_5359;;;;;;;;;;;;;;;;
Images de justice;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;Exposition au parlement de Bretagne;Exposition au parlement de Bretagne;Ateliers du vent;https://www.comptoirdudoc.org/programmations/images-de-justice;comptoir@comptoirdudoc.org;De 2000 à 2009;2003;Cinéma, audiovisuel;;;;Documentaire;;;Avant-saison (1er janvier - 20 juin);;FEST_35238_5363;;;;;;;;;;;;;;;;
Les Mercredis du Thabor;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;Parc du Thabor;Parc du Thabor;;https://skeudenn.bzh/;contact@skeudenn.bzh;;;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_35238_5381;;;;;;;;;;;;;;;;
Un Printemps en Asie;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;Ciné TNB;Ciné TNB;;https://www.unprintempsenasie.com/;festivalupea@gmail.com;2010 et après;2018;Cinéma, audiovisuel;;;;Fiction long métrage, Documentaire, Film d'animation;;;Avant-saison (1er janvier - 20 juin);;FEST_35238_5413;;;;;;;;;;;;;;;;
Will'Stock Festival;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;Mondo Bizarro;Mondo Bizarro;264 Avenue Général Patton;;willpower@hotmail.fr;De 2000 à 2009;;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_35238_5416;;;;;;;;;;;;;;;;
Dans Ar Vag;;Bretagne;Finistère;Roscanvel;29570;29238;200066868;CC Presqu'île de Crozon-Aulne maritime;;;Hangar à bâteaux;Hangar à bâteaux;Route d'Emenez ar vel;;asso-ouvertures@orange.fr;De 1990 à 1999;;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_29238_5498;;;;;;;;;;;;;;;;
Festival A l'Est du Nouveau;Internationale;Normandie;Seine-Maritime;Rouen;76130;76540;200023414;Métropole Rouen Normandie;22;rue;Robert Lehman;22 rue  Robert Lehman;22 rue Robert Lehman;www.alestfestival.com;info@sf-peru.com;De 2000 à 2009;2002;Cinéma, audiovisuel;;;;Court métrage, Documentaire, Fiction long métrage, Film d'animation;;;Avant-saison (1er janvier - 20 juin);;FEST_76540_5521;;;;;;;;;;;;;;;;
Noël au Théâtre;;Hauts-de-France;Nord;Saint-André;59350;59527;200093201;Métropole Européenne de Lille;23;rue;Alsace-Lorraine;23 rue Alsace-Lorraine;;www.lezeppelin.fr;administration@lezeppelin.fr;2010 et après;2015;Spectacle vivant;Théâtre;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_59527_5644;;;;;;;;;;;;;;;;
Les Réclusiennes;;Nouvelle-Aquitaine;Gironde;Sainte-Foy-la-Grande;33220;33402;243301371;CC du Pays Foyen;;;;;;http://www.coeurdebastide.com/;contact@coeurdebastide.fr;2010 et après;2013;Spectacle vivant;Spectacle vivant pluridisciplinaire;;;;;;Saison (21 juin - 5 septembre);LA380;FEST_33402_5771;;;;;;;;;;;;;;;;
Bwd12;;Auvergne-Rhône-Alpes;Loire;Saint-Étienne;42230;42218;244200770;Saint-Etienne Métropole;750;route;de Boulain;750 route de Boulain;Saint Victor sur Loire;www.bwd12.fr;festivalbwd12@gmail.com;De 2000 à 2009;2006;Musique;;Musique classique, mélange de plusieurs genres;;;;;Saison (21 juin - 5 septembre);;FEST_42218_5809;;;;;;;;;;;;;;;;
Saint-Fons jazz festival;;Auvergne-Rhône-Alpes;Métropole de Lyon;Saint-Fons;69190;69199;200046977;Métropole de Lyon;;;;;Espace léon blum, ecole de musique de saint fons;www.saint-fons-jazz.fr;;De 2000 à 2009;;Musique;;jazz, blues et musiques improvisées;;;;;Avant-saison (1er janvier - 20 juin);;FEST_69199_5843;;;;;;;;;;;;;;;;
Festival jazz en Comminges;;Occitanie;Haute-Garonne;Saint-Gaudens;31800;31483;200072643;CC CSur et Coteaux du Comminges;16;Rue;de l'indépendance;16 Rue de l'indépendance;;www.jazzencomminges.com;contact@jazzencomminges.fr;De 2000 à 2009;;Musique;;Jazz, blues, Musiques du monde;;;;;Avant-saison (1er janvier - 20 juin);;FEST_31483_5601;;;;;;;;;;;;;;;;
Balades Musicales en Oléron;;Nouvelle-Aquitaine;Charente-Maritime;Saint-Georges-d'Oléron;17190;17337;241700624;CC de l'Île d'Oléron;;;;;;http://www.festival-oleron.com/;contact@festival-oleron.com;2010 et après;2017;Musique;;Musiques classiques et savantes;;;;;Saison (21 juin - 5 septembre);LA490;FEST_17337_5860;;;;;;;;;;;;;;;;
Comboros;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Gervais d'Auvergne;63390;63354;200072080;CC du Pays de Saint-Éloy;;Place;du Foirail;Place du Foirail;;https://comboros.com/;estelle.bourdier@orange.fr;2010 et après;2017;Musique;;Musiques classiques et savantes;;;;;Saison (21 juin - 5 septembre);;FEST_63354_5878;;;;;;;;;;;;;;;;
Ernest Montpied;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Hilaire-la-Croix;63440;63358;200072098;CC Combrailles Sioule et Morge;;;;;MAIRIE;www.accombrailles.fr;moguelet.didier@orange.fr;2010 et après;2014;Spectacle vivant;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_63358_5909;;;;;;;;;;;;;;;;
La houle des mots;;Bretagne;Côtes-d'Armor;Saint-Jacut-de-la-Mer;22750;22302;200068989;CA Dinan Agglomération;;;Jardins de l'Abbaye, Maison de la mer;Jardins de l'Abbaye, Maison de la mer;;presquileenpoesie.org;contact@presquileenpoesie.org;2010 et après;2016;Livre, littérature;;;;;;Poésie;Saison (21 juin - 5 septembre);;FEST_22302_5911;;;;;;;;;;;;;;;;
Musique ancienne en Pic-Saint-Loup & gorges de l'Hérault;Départementale;Occitanie;Hérault;Saint-Jean-de-Cuculles;34980;34266;200022986;CC du Grand Pic Saint-Loup;;;;;Différents lieux :  Château d'Assas Les Ombres  Église romane Saint-Martin-de-Pourols  Église romane Saint-Nazaire-et-Saint-Celse  Église baroque Notre-Dame-de-l’Assomption Église Saint-Gilles Les Passions Église romane Saint-Jean Mora Vocis  Grand temple Ensemble Arianna  Chapelle-caveau de Montlobre;https://www.musiqueancienneenpicsaintloup.com/;lesmusesendialogue@orange.fr;2010 et après;2014;Musique;;Musique anciennes;;;;;Après-saison (6 septembre - 31 décembre);;FEST_34266_1478;;;;;;;;;;;;;;;;
Festival Les Rendez-Vous Soniques;;Normandie;Manche;Saint-Lô;50000;50502;200066389;CA Saint-Lô Agglo;25;Place;du Champ de Mars;25 Place du Champ de Mars;;https://www.lesrendezvoussoniques.com/;contact@lenormandy.net;De 2000 à 2009;2005;Musique;;Chanson ou variété française, Hip-hop, rap, slam, Musiques du monde, Musiques électroniques, techno, Pop, rock, RnB, Variétés internationales;;;;;Après-saison (6 septembre - 31 décembre);;FEST_50502_5983;;;;;;;;;;;;;;;;
Bulb;;Grand Est;Haut-Rhin;Saint-Louis;68300;68297;200066058;CA Saint-Louis Agglomération;;;;;;;billetterie@theatrelacoupole.fr;2010 et après;;Spectacle vivant;Théâtre;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_68297_5986;;;;;;;;;;;;;;;;
Renc'Arts de Saint-Malo;;Bretagne;Ille-et-Vilaine;Saint-Malo;35400;35288;243500782;CA du Pays de Saint Malo Agglomération;;;Centre de la Vallée Salvador Allende;Centre de la Vallée Salvador Allende;;;culture@saint-malo.fr;;;Pluridisciplinaire;Théâtre, arts du conte, danse, arts de la rue, arts du cirque;Musique;;;;;Saison (21 juin - 5 septembre);;FEST_35288_6009;;;;;;;;;;;;;;;;
Saint-Malo Rock City;;Bretagne;Ille-et-Vilaine;Saint-Malo;35400;35288;243500782;CA du Pays de Saint Malo Agglomération;;;La Nouvelle Vague;La Nouvelle Vague;;;saintmalorockcity@gmail.com;2010 et après;;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_35288_6010;;;;;;;;;;;;;;;;
Saint-Maur en Poche;;Île-de-France;Val-de-Marne;Saint-Maur-des-Fossés;94100;94068;200057941;Paris Est Marne et Bois (T10);;;;;;https://enpoche.org;sans;De 2000 à 2009;2008;Livre, littérature;;;;;;Généraliste;Saison (21 juin - 5 septembre);;FEST_94068_6044;;;;;;;;;;;;;;;;
Festival du livre de jeunesse Occitanie;Intercommunale;Occitanie;Haute-Garonne;Saint-Orens-de-Gameville;31650;31506;243100518;Toulouse Métropole;2;Avenue;De Revel;2 Avenue De Revel;3 Rue Georges Vivent, Bp 73657;http://festival-livre-jeunesse.fr;contact@festival-livre-jeunesse.fr;De 2000 à 2009;2002;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_31506_6073;;;;;;;;;;;;;;;;
Les Ribamboules;;Bretagne;Finistère;Saint-Pabu;29830;29257;242900553;CC du Pays des Abers;;;Plage de Corn ar Gazel;Plage de Corn ar Gazel;;;alchimik@lavache.com;2010 et après;;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_29257_5619;;;;;;;;;;;;;;;;
Saint Parres aux Livres;;Grand Est;Aube;Saint-Parres-aux-Tertres;10410;10357;200069250;CA Troyes Champagne Métropole;;;;;;http://saintparresauxlivres.free.fr/;saintparresauxlivres@orange.fr;2010 et après;;Livre, littérature;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_10357_6084;;;;;;;;;;;;;;;;
Nuits Cajun;;Bourgogne-Franche-Comté;Saône-et-Loire;Saint-Sernin-du-Bois;71200;71479;247100290;CU Le Creusot Montceau-les-Mines;2720;route;route de St Sernin;2720 route route de St Sernin;salle polyvalente;www.bayouprod.com;didier.lonjard@orange.fr;Avant 1980;1973;Musique;;Musiques du monde, Musiques traditionnelles, Musiques Cajun - Zydeco - Swamp Pop;;;;;Saison (21 juin - 5 septembre);;FEST_71479_6167;;;;;;;;;;;;;;;;
Les soirées de la pesquière;;Provence-Alpes-Côte d'Azur;Var;Saint-Tropez;83992;83119;200036077;CC du Golfe de Saint-Tropez;;;;;;www.saint-tropez.fr;culture@ville-sainttropez.fr;2010 et après;;Musique;;"Musiques actuelles ; musiques du monde";;;;;Saison (21 juin - 5 septembre);;43.262314383, 6.66343039908;;;;;;;;;;;;;;;
Festival international des Textiles Extraordinaires;régionale;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Vincent;43800;43230;200073419;CA du Puy-en-Velay;;;La couleyre;La couleyre;Association HS_PROJETS;;;2010 et après;5ème en 20;Arts visuels, arts numériques;;;;;Autres (textile);;Après-saison (6 septembre - 31 décembre);;FEST_43230_6187;;;;;;;;;;;;;;;;
L'yrieix-Vous ?;;Nouvelle-Aquitaine;Haute-Vienne;Saint-Yrieix-la-Perche;87500;87187;248700189;CC du Pays de Saint-Yrieix;;;;;;https://lyrieixvous.wordpress.com/;;2010 et après;2016;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);CR181;FEST_87187_6195;;;;;;;;;;;;;;;;
Festival de musique romantique de Salviac;;Occitanie;Lot;Salviac;46340;46297;200035327;CC Cazals-Salviac;;Place;de la Mairie;Place de la Mairie;Eglise Saint-Jacques-le-Majeur;https://www.tourisme-gourdon.com/en/diary/complete-diary/festival-de-musique-romantique-de-salviac-2997115;animationculturesalviac@gmail.com;2010 et après;2013;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_46297_6216;;;;;;;;;;;;;;;;
Festival celte en Gevaudan;Régionale;Auvergne-Rhône-Alpes;Haute-Loire;Saugues;43170;43234;200073393;CC des Rives du Haut-Allier;1;Place;Place du breuil;1 Place Place du breuil;;www.festivalengevaudan.com;Severine.monteil@laposte.net;De 2000 à 2009;2007;Musique;;Musique celtique;;;;;Saison (21 juin - 5 septembre);;FEST_43234_6254;;;;;;;;;;;;;;;;
Fête de l’'accordéon;Intercommunale;Bourgogne-Franche-Comté;Côte-d'Or;Saulieu;21210;21584;242101442;CC de Saulieu;1;Rue;de Poilbourg;1 Rue de Poilbourg;;www.fetedelaccordeon.com;;De 2000 à 2009;2008;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_21584_6257;;;;;;;;;;;;;;;;
Jeunes Pousses;;Île-de-France;Essonne;Saulx-les-Chartreux;91160;91587;200056232;Communauté Paris Saclay;;;;;;http://animakt.fr/festival-jeunes-pousses;contact@animakt.fr;De 2000 à 2009;2000;Spectacle vivant;Arts de la rue;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_91587_6260;;;;;;;;;;;;;;;;
Festival des Ploucs;;Nouvelle-Aquitaine;Dordogne;Saussignac;24240;24523;200070647;CA Bergeracoise;;;;;Mairie - Le Bourg;http://fr-fr.facebook.com/festivaldesploucs/;fdp.backstage@gmail.com;De 1990 à 1999;1996;Musique;;Musiques actuelles;;;;;Saison (21 juin - 5 septembre);LA589;FEST_24523_6270;;;;;;;;;;;;;;;;
Cantar lou pais (chanter le pays);Régionale;Provence-Alpes-Côte d'Azur;Var;Seillans;83440;83124;200004802;CC du Pays de Fayence;11;Chemin;Fabrique;11 Chemin Fabrique;;cantarloupais.com;cantarloupais@gmail.com;De 1990 à 1999;1996;Musique;;Musiques traditionnelles;;;;;Avant-saison (1er janvier - 20 juin);;FEST_83124_6310;;;;;;;;;;;;;;;;
Tous au champ;;Auvergne-Rhône-Alpes;Haute-Savoie;Serraval;74230;74265;247400617;CC des Vallées de Thônes;;;;;Col du Marais;http://tousauchamp.fr/;;2010 et après;;Musique;;Musiques actuelles sans distinction;;;;;Saison (21 juin - 5 septembre);;FEST_74265_6338;;;;;;;;;;;;;;;;
Festival jeunes musiciens;;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Seyne;4140;4205;200067437;CA Provence-Alpes-Agglomération;;;;;;www.seynelesalpes-tourisme.com;jean-marc.coquin@wanadoo.fr;De 2000 à 2009;2007;Musique;;Musique traditionnelle;;;;;Saison (21 juin - 5 septembre);;FEST_04205_6362;;;;;;;;;;;;;;;;
Musique dans le Gers;Régionale;Occitanie;Gers;Simorre;32420;32433;200042372;CC des Coteaux Arrats Gimone;;Rue;Longue;Rue Longue;;www.Musiquedanslegers.com;Musiquedanslegers@gmail.com;2010 et après;2016;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_32433_6375;;;;;;;;;;;;;;;;
Demostratif;;Grand Est;Bas-Rhin;Strasbourg;67000;67482;246700488;Eurométropole de Strabourg;;;;;;http://demostratif.fr;association@demostratif.fr;2010 et après;2018;Spectacle vivant;Théâtre;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_67482_6431;;;;;;;;;;;;;;;;
